2026/09/04 09:58:35.800, 109.43 W, 401.00 W, 1785 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:36.804, 78.59 W, 401.00 W, 382 MHz, 16004 MHz, 36, 0 %
2026/09/04 09:58:37.804, 72.84 W, 401.00 W, 2610 MHz, 15368 MHz, 36, 0 %
2026/09/04 09:58:38.805, 88.83 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:39.805, 87.94 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:40.806, 87.96 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:41.806, 88.01 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:42.807, 87.89 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:43.808, 87.85 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:44.808, 88.34 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:45.809, 88.00 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:46.809, 87.91 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:48.083, 89.15 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:49.083, 89.45 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:50.083, 88.06 W, 401.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/04 09:58:51.084, 88.02 W, 401.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/04 09:58:52.085, 90.23 W, 401.00 W, 2625 MHz, 15368 MHz, 38, 100 %
2026/09/04 09:58:53.085, 110.54 W, 401.00 W, 2850 MHz, 15368 MHz, 38, 100 %
2026/09/04 09:58:54.086, 112.47 W, 401.00 W, 2850 MHz, 15368 MHz, 38, 85 %
2026/09/04 09:58:55.087, 112.63 W, 401.00 W, 2850 MHz, 15368 MHz, 39, 91 %
2026/09/04 09:58:56.090, 106.60 W, 401.00 W, 2842 MHz, 15368 MHz, 39, 10 %
2026/09/04 09:58:57.091, 121.89 W, 401.00 W, 2640 MHz, 15368 MHz, 40, 10 %
2026/09/04 09:58:58.091, 93.17 W, 401.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/04 09:58:59.092, 88.72 W, 401.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/04 09:59:00.093, 88.07 W, 401.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/04 09:59:01.093, 88.21 W, 401.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/04 09:59:02.094, 88.11 W, 401.00 W, 2610 MHz, 15368 MHz, 38, 1 %
2026/09/04 09:59:03.095, 153.53 W, 401.00 W, 2730 MHz, 15368 MHz, 39, 7 %
2026/09/04 09:59:04.096, 105.12 W, 401.00 W, 2730 MHz, 15368 MHz, 39, 5 %
2026/09/04 09:59:05.096, 110.73 W, 401.00 W, 2617 MHz, 15368 MHz, 39, 29 %
2026/09/04 09:59:06.097, 153.43 W, 401.00 W, 2775 MHz, 15368 MHz, 41, 25 %
2026/09/04 09:59:07.098, 161.87 W, 401.00 W, 2775 MHz, 15368 MHz, 41, 29 %
2026/09/04 09:59:08.098, 163.35 W, 401.00 W, 2782 MHz, 15368 MHz, 41, 25 %
2026/09/04 09:59:09.099, 161.13 W, 401.00 W, 2775 MHz, 15368 MHz, 41, 25 %
2026/09/04 09:59:10.099, 161.05 W, 401.00 W, 2775 MHz, 15368 MHz, 41, 25 %
2026/09/04 09:59:11.100, 161.46 W, 401.00 W, 2775 MHz, 15368 MHz, 41, 25 %
2026/09/04 09:59:12.101, 161.22 W, 401.00 W, 2775 MHz, 15368 MHz, 42, 25 %
2026/09/04 09:59:13.101, 118.36 W, 401.00 W, 2610 MHz, 15368 MHz, 40, 0 %
2026/09/04 09:59:14.102, 89.58 W, 401.00 W, 2610 MHz, 15368 MHz, 40, 7 %
2026/09/04 09:59:15.102, 363.33 W, 401.00 W, 2212 MHz, 15368 MHz, 49, 98 %
2026/09/04 09:59:16.103, 365.41 W, 401.00 W, 2782 MHz, 15368 MHz, 49, 91 %
2026/09/04 09:59:17.104, 290.92 W, 401.00 W, 2782 MHz, 15368 MHz, 45, 91 %
2026/09/04 09:59:18.105, 275.45 W, 401.00 W, 2820 MHz, 15368 MHz, 44, 0 %
2026/09/04 09:59:19.105, 351.24 W, 401.00 W, 2167 MHz, 15368 MHz, 51, 98 %
2026/09/04 09:59:20.106, 378.28 W, 401.00 W, 2640 MHz, 15368 MHz, 47, 91 %
2026/09/04 09:59:21.107, 301.50 W, 401.00 W, 2775 MHz, 15368 MHz, 50, 92 %
2026/09/04 09:59:22.107, 310.43 W, 401.00 W, 2782 MHz, 15368 MHz, 48, 90 %
2026/09/04 09:59:23.108, 316.86 W, 401.00 W, 2130 MHz, 15368 MHz, 52, 99 %
2026/09/04 09:59:24.108, 257.65 W, 401.00 W, 2790 MHz, 15368 MHz, 49, 92 %
2026/09/04 09:59:25.109, 204.03 W, 401.00 W, 2827 MHz, 15368 MHz, 45, 19 %
2026/09/04 09:59:26.110, 148.34 W, 401.00 W, 2827 MHz, 15368 MHz, 46, 26 %
2026/09/04 09:59:27.110, 166.38 W, 401.00 W, 2767 MHz, 15368 MHz, 45, 29 %
2026/09/04 09:59:28.111, 162.46 W, 401.00 W, 2760 MHz, 15368 MHz, 45, 26 %
2026/09/04 09:59:29.112, 164.86 W, 401.00 W, 2767 MHz, 15368 MHz, 46, 26 %
2026/09/04 09:59:30.112, 165.79 W, 401.00 W, 2760 MHz, 15368 MHz, 46, 26 %
2026/09/04 09:59:31.113, 163.48 W, 401.00 W, 2767 MHz, 15368 MHz, 45, 32 %
2026/09/04 09:59:32.114, 165.65 W, 401.00 W, 2760 MHz, 15368 MHz, 46, 27 %
2026/09/04 09:59:33.114, 165.36 W, 401.00 W, 2760 MHz, 15368 MHz, 46, 26 %
2026/09/04 09:59:34.115, 101.37 W, 401.00 W, 2610 MHz, 15368 MHz, 44, 0 %
2026/09/04 09:59:35.115, 90.12 W, 401.00 W, 2610 MHz, 15368 MHz, 44, 0 %
2026/09/04 09:59:36.116, 178.55 W, 401.00 W, 2505 MHz, 15368 MHz, 52, 98 %
2026/09/04 09:59:37.117, 406.42 W, 401.00 W, 2220 MHz, 15368 MHz, 54, 98 %
2026/09/04 09:59:38.117, 328.80 W, 401.00 W, 2767 MHz, 15368 MHz, 52, 98 %
2026/09/04 09:59:39.118, 311.69 W, 401.00 W, 2767 MHz, 15368 MHz, 53, 98 %
2026/09/04 09:59:40.120, 288.57 W, 401.00 W, 2490 MHz, 15368 MHz, 55, 98 %
2026/09/04 09:59:41.121, 402.11 W, 401.00 W, 2197 MHz, 15368 MHz, 55, 99 %
2026/09/04 09:59:42.122, 339.85 W, 401.00 W, 2767 MHz, 15368 MHz, 52, 99 %
2026/09/04 09:59:43.122, 319.23 W, 401.00 W, 2775 MHz, 15368 MHz, 53, 95 %
2026/09/04 09:59:44.123, 293.89 W, 401.00 W, 2347 MHz, 15368 MHz, 55, 99 %
2026/09/04 09:59:45.124, 316.48 W, 401.00 W, 2790 MHz, 15368 MHz, 52, 99 %
2026/09/04 09:59:46.125, 244.59 W, 401.00 W, 2812 MHz, 15368 MHz, 49, 0 %
2026/09/04 09:59:47.126, 138.92 W, 401.00 W, 2827 MHz, 15368 MHz, 50, 26 %
2026/09/04 09:59:48.126, 169.02 W, 401.00 W, 2760 MHz, 15368 MHz, 49, 26 %
2026/09/04 09:59:49.127, 167.29 W, 401.00 W, 2760 MHz, 15368 MHz, 49, 26 %
2026/09/04 09:59:50.127, 165.60 W, 401.00 W, 2767 MHz, 15368 MHz, 49, 26 %
2026/09/04 09:59:51.128, 167.98 W, 401.00 W, 2760 MHz, 15368 MHz, 49, 26 %
