2026/09/04 10:19:36.156, 104.74 W, 600.00 W, 2775 MHz, 15368 MHz, 38, 0 %, 41 MiB
2026/09/04 10:19:37.160, 89.35 W, 600.00 W, 1020 MHz, 15368 MHz, 37, 0 %, 41 MiB
2026/09/04 10:19:38.160, 65.50 W, 600.00 W, 1230 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:39.161, 89.38 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:40.161, 88.24 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:41.162, 88.25 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:42.162, 87.98 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:43.163, 87.92 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:44.163, 87.88 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:45.164, 87.89 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:46.164, 87.81 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:47.165, 88.03 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:48.165, 88.37 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %, 596 MiB
2026/09/04 10:19:49.165, 88.09 W, 600.00 W, 2610 MHz, 15368 MHz, 39, 0 %, 612 MiB
2026/09/04 10:19:51.045, 90.14 W, 600.00 W, 2610 MHz, 15368 MHz, 39, 0 %, 67278 MiB
2026/09/04 10:19:52.046, 88.92 W, 600.00 W, 2610 MHz, 15368 MHz, 39, 0 %, 67278 MiB
2026/09/04 10:19:53.047, 89.21 W, 600.00 W, 2610 MHz, 15368 MHz, 39, 91 %, 67278 MiB
2026/09/04 10:19:54.047, 111.97 W, 600.00 W, 2850 MHz, 15368 MHz, 40, 100 %, 67278 MiB
2026/09/04 10:19:55.048, 112.88 W, 600.00 W, 2850 MHz, 15368 MHz, 40, 100 %, 67278 MiB
2026/09/04 10:19:56.049, 107.65 W, 600.00 W, 2850 MHz, 15368 MHz, 40, 0 %, 67278 MiB
2026/09/04 10:19:57.049, 105.01 W, 600.00 W, 2850 MHz, 15368 MHz, 40, 0 %, 67278 MiB
2026/09/04 10:19:58.050, 101.22 W, 600.00 W, 2640 MHz, 15368 MHz, 39, 0 %, 67278 MiB
2026/09/04 10:19:59.184, 89.35 W, 600.00 W, 2610 MHz, 15368 MHz, 39, 2 %, 78078 MiB
2026/09/04 10:20:00.184, 89.27 W, 600.00 W, 2610 MHz, 15368 MHz, 39, 0 %, 78106 MiB
2026/09/04 10:20:01.185, 105.56 W, 600.00 W, 2647 MHz, 15368 MHz, 40, 1 %, 78312 MiB
2026/09/04 10:20:02.185, 90.30 W, 600.00 W, 2617 MHz, 15368 MHz, 40, 0 %, 78312 MiB
2026/09/04 10:20:03.186, 94.24 W, 600.00 W, 2640 MHz, 15368 MHz, 40, 0 %, 78346 MiB
2026/09/04 10:20:04.187, 89.93 W, 600.00 W, 2610 MHz, 15368 MHz, 40, 0 %, 78346 MiB
2026/09/04 10:20:05.187, 89.39 W, 600.00 W, 2610 MHz, 15368 MHz, 40, 0 %, 78346 MiB
2026/09/04 10:20:06.188, 88.26 W, 600.00 W, 2610 MHz, 15368 MHz, 40, 0 %, 78346 MiB
2026/09/04 10:20:07.189, 88.26 W, 600.00 W, 2610 MHz, 15368 MHz, 40, 0 %, 78346 MiB
2026/09/04 10:20:08.189, 88.65 W, 600.00 W, 2610 MHz, 15368 MHz, 40, 6 %, 78346 MiB
2026/09/04 10:20:09.190, 102.82 W, 600.00 W, 2610 MHz, 15368 MHz, 45, 33 %, 78378 MiB
2026/09/04 10:20:10.191, 154.86 W, 600.00 W, 2850 MHz, 15368 MHz, 41, 6 %, 78386 MiB
2026/09/04 10:20:11.192, 113.31 W, 600.00 W, 2850 MHz, 15368 MHz, 41, 3 %, 78426 MiB
2026/09/04 10:20:12.192, 133.10 W, 600.00 W, 2760 MHz, 15368 MHz, 41, 17 %, 78426 MiB
2026/09/04 10:20:13.193, 146.25 W, 600.00 W, 2760 MHz, 15368 MHz, 42, 17 %, 78426 MiB
2026/09/04 10:20:14.194, 144.78 W, 600.00 W, 2760 MHz, 15368 MHz, 42, 21 %, 78426 MiB
2026/09/04 10:20:15.194, 145.88 W, 600.00 W, 2760 MHz, 15368 MHz, 42, 22 %, 78426 MiB
2026/09/04 10:20:16.195, 146.91 W, 600.00 W, 2775 MHz, 15368 MHz, 43, 22 %, 78426 MiB
2026/09/04 10:20:17.195, 146.98 W, 600.00 W, 2775 MHz, 15368 MHz, 42, 21 %, 78426 MiB
2026/09/04 10:20:18.196, 147.41 W, 600.00 W, 2775 MHz, 15368 MHz, 43, 21 %, 78426 MiB
2026/09/04 10:20:19.196, 144.49 W, 600.00 W, 2767 MHz, 15368 MHz, 42, 15 %, 78442 MiB
2026/09/04 10:20:20.197, 144.96 W, 600.00 W, 2760 MHz, 15368 MHz, 43, 20 %, 78442 MiB
2026/09/04 10:20:21.198, 125.10 W, 600.00 W, 2640 MHz, 15368 MHz, 42, 6 %, 78442 MiB
2026/09/04 10:20:22.198, 110.30 W, 600.00 W, 2610 MHz, 15368 MHz, 48, 57 %, 79672 MiB
2026/09/04 10:20:23.199, 481.74 W, 600.00 W, 2707 MHz, 15368 MHz, 52, 90 %, 79698 MiB
2026/09/04 10:20:24.199, 317.60 W, 600.00 W, 2775 MHz, 15368 MHz, 48, 91 %, 79738 MiB
2026/09/04 10:20:25.200, 297.57 W, 600.00 W, 2782 MHz, 15368 MHz, 47, 98 %, 79786 MiB
2026/09/04 10:20:26.200, 287.38 W, 600.00 W, 2775 MHz, 15368 MHz, 46, 18 %, 79802 MiB
2026/09/04 10:20:27.201, 478.70 W, 600.00 W, 2700 MHz, 15368 MHz, 57, 99 %, 79822 MiB
2026/09/04 10:20:28.201, 318.85 W, 600.00 W, 2782 MHz, 15368 MHz, 49, 95 %, 79868 MiB
2026/09/04 10:20:29.202, 304.55 W, 600.00 W, 2775 MHz, 15368 MHz, 53, 91 %, 79908 MiB
2026/09/04 10:20:30.203, 308.33 W, 600.00 W, 2767 MHz, 15368 MHz, 50, 99 %, 79930 MiB
2026/09/04 10:20:31.203, 468.18 W, 600.00 W, 2707 MHz, 15368 MHz, 58, 98 %, 79932 MiB
2026/09/04 10:20:32.204, 376.69 W, 600.00 W, 2767 MHz, 15368 MHz, 53, 93 %, 79932 MiB
2026/09/04 10:20:33.204, 317.97 W, 600.00 W, 2775 MHz, 15368 MHz, 54, 99 %, 79932 MiB
2026/09/04 10:20:34.205, 324.33 W, 600.00 W, 2767 MHz, 15368 MHz, 55, 95 %, 79934 MiB
2026/09/04 10:20:35.208, 417.11 W, 600.00 W, 2707 MHz, 15368 MHz, 59, 98 %, 79942 MiB
2026/09/04 10:20:36.208, 420.47 W, 600.00 W, 2767 MHz, 15368 MHz, 55, 88 %, 79994 MiB
2026/09/04 10:20:37.209, 315.28 W, 600.00 W, 2775 MHz, 15368 MHz, 57, 88 %, 80044 MiB
2026/09/04 10:20:38.209, 316.59 W, 600.00 W, 2767 MHz, 15368 MHz, 55, 90 %, 80094 MiB
2026/09/04 10:20:39.210, 252.80 W, 600.00 W, 2835 MHz, 15368 MHz, 50, 18 %, 80110 MiB
2026/09/04 10:20:40.211, 156.90 W, 600.00 W, 2835 MHz, 15368 MHz, 49, 18 %, 80110 MiB
2026/09/04 10:20:41.212, 155.05 W, 600.00 W, 2752 MHz, 15368 MHz, 50, 23 %, 80110 MiB
2026/09/04 10:20:42.213, 150.72 W, 600.00 W, 2760 MHz, 15368 MHz, 49, 18 %, 80110 MiB
2026/09/04 10:20:43.213, 148.38 W, 600.00 W, 2745 MHz, 15368 MHz, 49, 21 %, 80122 MiB
2026/09/04 10:20:44.214, 150.37 W, 600.00 W, 2752 MHz, 15368 MHz, 49, 18 %, 80122 MiB
2026/09/04 10:20:45.215, 151.39 W, 600.00 W, 2752 MHz, 15368 MHz, 49, 22 %, 80122 MiB
2026/09/04 10:20:46.215, 150.77 W, 600.00 W, 2752 MHz, 15368 MHz, 49, 25 %, 80122 MiB
2026/09/04 10:20:47.216, 151.64 W, 600.00 W, 2760 MHz, 15368 MHz, 49, 23 %, 80122 MiB
2026/09/04 10:20:48.216, 150.33 W, 600.00 W, 2752 MHz, 15368 MHz, 49, 22 %, 80122 MiB
2026/09/04 10:20:49.217, 112.03 W, 600.00 W, 2610 MHz, 15368 MHz, 48, 6 %, 80122 MiB
2026/09/04 10:20:50.217, 184.99 W, 600.00 W, 2662 MHz, 15368 MHz, 57, 98 %, 80122 MiB
2026/09/04 10:20:51.219, 478.00 W, 600.00 W, 2715 MHz, 15368 MHz, 56, 98 %, 80122 MiB
2026/09/04 10:20:52.219, 315.55 W, 600.00 W, 2775 MHz, 15368 MHz, 55, 98 %, 80122 MiB
