2026/09/04 10:58:33.405, 108.72 W, 600.00 W, 2835 MHz, 15368 MHz, 52, 0 %, 41 MiB
2026/09/04 10:58:34.408, 99.97 W, 600.00 W, 2227 MHz, 16004 MHz, 51, 0 %, 41 MiB
2026/09/04 10:58:35.409, 72.99 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 596 MiB
2026/09/04 10:58:36.410, 95.75 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 596 MiB
2026/09/04 10:58:37.410, 95.48 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 596 MiB
2026/09/04 10:58:38.411, 94.65 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 596 MiB
2026/09/04 10:58:39.412, 94.84 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 596 MiB
2026/09/04 10:58:40.412, 95.05 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 596 MiB
2026/09/04 10:58:41.413, 95.06 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 596 MiB
2026/09/04 10:58:42.413, 95.33 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 596 MiB
2026/09/04 10:58:43.414, 95.36 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 596 MiB
2026/09/04 10:58:44.415, 95.62 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 596 MiB
2026/09/04 10:58:45.415, 95.13 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 596 MiB
2026/09/04 10:58:46.655, 96.80 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 80308 MiB
2026/09/04 10:58:47.656, 95.74 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 80308 MiB
2026/09/04 10:58:48.657, 106.33 W, 600.00 W, 2835 MHz, 15368 MHz, 52, 100 %, 80308 MiB
2026/09/04 10:58:49.658, 125.83 W, 600.00 W, 2835 MHz, 15368 MHz, 52, 100 %, 80308 MiB
2026/09/04 10:58:50.659, 125.64 W, 600.00 W, 2835 MHz, 15368 MHz, 52, 100 %, 80308 MiB
2026/09/04 10:58:51.659, 114.82 W, 600.00 W, 2835 MHz, 15368 MHz, 52, 0 %, 80308 MiB
2026/09/04 10:58:52.660, 108.84 W, 600.00 W, 2835 MHz, 15368 MHz, 52, 0 %, 80308 MiB
2026/09/04 10:58:53.660, 105.30 W, 600.00 W, 2685 MHz, 15368 MHz, 52, 0 %, 80308 MiB
2026/09/04 10:58:54.785, 96.19 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 91110 MiB
2026/09/04 10:58:55.786, 96.22 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 91296 MiB
2026/09/04 10:58:56.786, 114.18 W, 600.00 W, 2617 MHz, 15368 MHz, 52, 1 %, 91342 MiB
2026/09/04 10:58:57.787, 100.66 W, 600.00 W, 2632 MHz, 15368 MHz, 52, 12 %, 91376 MiB
2026/09/04 10:58:58.788, 101.50 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 91376 MiB
2026/09/04 10:58:59.788, 96.33 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 0 %, 91376 MiB
2026/09/04 10:59:00.789, 96.14 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 7 %, 91376 MiB
2026/09/04 10:59:01.790, 158.58 W, 600.00 W, 2737 MHz, 15368 MHz, 52, 4 %, 91410 MiB
2026/09/04 10:59:02.791, 114.51 W, 600.00 W, 2737 MHz, 15368 MHz, 52, 3 %, 91416 MiB
2026/09/04 10:59:03.792, 137.83 W, 600.00 W, 2752 MHz, 15368 MHz, 53, 24 %, 91452 MiB
2026/09/04 10:59:04.792, 162.78 W, 600.00 W, 2752 MHz, 15368 MHz, 53, 24 %, 91452 MiB
2026/09/04 10:59:05.793, 162.77 W, 600.00 W, 2752 MHz, 15368 MHz, 54, 23 %, 91452 MiB
2026/09/04 10:59:06.794, 161.75 W, 600.00 W, 2752 MHz, 15368 MHz, 53, 23 %, 91452 MiB
2026/09/04 10:59:07.795, 163.54 W, 600.00 W, 2752 MHz, 15368 MHz, 53, 22 %, 91452 MiB
2026/09/04 10:59:08.795, 164.15 W, 600.00 W, 2752 MHz, 15368 MHz, 54, 24 %, 91452 MiB
2026/09/04 10:59:09.796, 161.80 W, 600.00 W, 2737 MHz, 15368 MHz, 53, 17 %, 91452 MiB
2026/09/04 10:59:10.796, 98.13 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 8 %, 92682 MiB
2026/09/04 10:59:11.797, 357.67 W, 600.00 W, 2685 MHz, 15368 MHz, 64, 98 %, 92682 MiB
2026/09/04 10:59:12.798, 433.88 W, 600.00 W, 2767 MHz, 15368 MHz, 60, 91 %, 92722 MiB
2026/09/04 10:59:13.799, 307.84 W, 600.00 W, 2767 MHz, 15368 MHz, 59, 90 %, 92762 MiB
2026/09/04 10:59:14.799, 317.51 W, 600.00 W, 2767 MHz, 15368 MHz, 58, 91 %, 92792 MiB
2026/09/04 10:59:15.800, 478.08 W, 600.00 W, 2677 MHz, 15368 MHz, 66, 98 %, 92792 MiB
2026/09/04 10:59:16.801, 400.24 W, 600.00 W, 2760 MHz, 15368 MHz, 61, 91 %, 92834 MiB
2026/09/04 10:59:17.802, 316.09 W, 600.00 W, 2767 MHz, 15368 MHz, 61, 90 %, 92882 MiB
2026/09/04 10:59:18.803, 317.09 W, 600.00 W, 2797 MHz, 15368 MHz, 64, 53 %, 92902 MiB
2026/09/04 10:59:19.804, 528.49 W, 600.00 W, 2677 MHz, 15368 MHz, 68, 98 %, 92902 MiB
2026/09/04 10:59:20.805, 412.75 W, 600.00 W, 2760 MHz, 15368 MHz, 63, 95 %, 92904 MiB
2026/09/04 10:59:21.805, 330.26 W, 600.00 W, 2767 MHz, 15368 MHz, 62, 94 %, 92904 MiB
2026/09/04 10:59:22.806, 332.79 W, 600.00 W, 2782 MHz, 15368 MHz, 65, 99 %, 92904 MiB
2026/09/04 10:59:23.807, 529.41 W, 600.00 W, 2670 MHz, 15368 MHz, 69, 99 %, 92912 MiB
2026/09/04 10:59:24.807, 393.11 W, 600.00 W, 2752 MHz, 15368 MHz, 62, 91 %, 92960 MiB
2026/09/04 10:59:25.808, 328.45 W, 600.00 W, 2760 MHz, 15368 MHz, 63, 91 %, 93002 MiB
2026/09/04 10:59:26.809, 321.17 W, 600.00 W, 2775 MHz, 15368 MHz, 61, 34 %, 93042 MiB
2026/09/04 10:59:27.809, 177.70 W, 600.00 W, 2827 MHz, 15368 MHz, 59, 26 %, 93042 MiB
2026/09/04 10:59:28.810, 173.64 W, 600.00 W, 2752 MHz, 15368 MHz, 59, 24 %, 93042 MiB
2026/09/04 10:59:29.811, 169.62 W, 600.00 W, 2752 MHz, 15368 MHz, 59, 25 %, 93042 MiB
2026/09/04 10:59:30.811, 164.94 W, 600.00 W, 2745 MHz, 15368 MHz, 59, 19 %, 93054 MiB
2026/09/04 10:59:31.813, 167.36 W, 600.00 W, 2752 MHz, 15368 MHz, 59, 25 %, 93054 MiB
2026/09/04 10:59:32.813, 168.29 W, 600.00 W, 2760 MHz, 15368 MHz, 59, 26 %, 93054 MiB
2026/09/04 10:59:33.814, 166.70 W, 600.00 W, 2745 MHz, 15368 MHz, 58, 21 %, 93054 MiB
2026/09/04 10:59:34.814, 168.93 W, 600.00 W, 2752 MHz, 15368 MHz, 59, 25 %, 93054 MiB
2026/09/04 10:59:35.815, 144.96 W, 600.00 W, 2610 MHz, 15368 MHz, 57, 7 %, 93054 MiB
2026/09/04 10:59:36.816, 125.52 W, 600.00 W, 2662 MHz, 15368 MHz, 60, 82 %, 93054 MiB
2026/09/04 10:59:37.817, 514.41 W, 600.00 W, 2685 MHz, 15368 MHz, 69, 98 %, 93054 MiB
2026/09/04 10:59:38.818, 369.33 W, 600.00 W, 2760 MHz, 15368 MHz, 65, 98 %, 93054 MiB
2026/09/04 10:59:39.818, 329.52 W, 600.00 W, 2760 MHz, 15368 MHz, 67, 99 %, 93054 MiB
2026/09/04 10:59:40.819, 392.88 W, 600.00 W, 2685 MHz, 15368 MHz, 69, 98 %, 93054 MiB
2026/09/04 10:59:41.820, 516.94 W, 600.00 W, 2730 MHz, 15368 MHz, 66, 95 %, 93054 MiB
2026/09/04 10:59:42.821, 321.56 W, 600.00 W, 2752 MHz, 15368 MHz, 63, 97 %, 93054 MiB
2026/09/04 10:59:43.822, 333.14 W, 600.00 W, 2752 MHz, 15368 MHz, 66, 93 %, 93054 MiB
2026/09/04 10:59:44.823, 439.56 W, 600.00 W, 2685 MHz, 15368 MHz, 72, 99 %, 93054 MiB
2026/09/04 10:59:45.824, 499.12 W, 600.00 W, 2752 MHz, 15368 MHz, 67, 98 %, 93054 MiB
2026/09/04 10:59:46.824, 346.62 W, 600.00 W, 2745 MHz, 15368 MHz, 67, 98 %, 93054 MiB
2026/09/04 10:59:47.825, 348.07 W, 600.00 W, 2737 MHz, 15368 MHz, 67, 98 %, 93054 MiB
2026/09/04 10:59:48.826, 456.68 W, 600.00 W, 2662 MHz, 15368 MHz, 72, 98 %, 93054 MiB
2026/09/04 10:59:49.827, 476.92 W, 600.00 W, 2745 MHz, 15368 MHz, 69, 98 %, 93054 MiB
2026/09/04 10:59:50.828, 342.44 W, 600.00 W, 2745 MHz, 15368 MHz, 66, 98 %, 93054 MiB
2026/09/04 10:59:51.828, 352.33 W, 600.00 W, 2730 MHz, 15368 MHz, 69, 98 %, 93054 MiB
2026/09/04 10:59:52.829, 210.27 W, 600.00 W, 2820 MHz, 15368 MHz, 64, 25 %, 93054 MiB
2026/09/04 10:59:53.830, 176.95 W, 600.00 W, 2797 MHz, 15368 MHz, 62, 26 %, 93054 MiB
2026/09/04 10:59:54.831, 170.55 W, 600.00 W, 2752 MHz, 15368 MHz, 62, 19 %, 93054 MiB
2026/09/04 10:59:55.831, 169.33 W, 600.00 W, 2752 MHz, 15368 MHz, 62, 22 %, 93054 MiB
2026/09/04 10:59:56.832, 171.57 W, 600.00 W, 2752 MHz, 15368 MHz, 62, 25 %, 93054 MiB
2026/09/04 10:59:57.832, 169.93 W, 600.00 W, 2752 MHz, 15368 MHz, 62, 25 %, 93054 MiB
2026/09/04 10:59:58.833, 169.74 W, 600.00 W, 2752 MHz, 15368 MHz, 61, 25 %, 93054 MiB
2026/09/04 10:59:59.834, 170.05 W, 600.00 W, 2752 MHz, 15368 MHz, 61, 25 %, 93054 MiB
2026/09/04 11:00:00.835, 157.94 W, 600.00 W, 2632 MHz, 15368 MHz, 60, 0 %, 93054 MiB
2026/09/04 11:00:01.835, 103.63 W, 600.00 W, 2610 MHz, 15368 MHz, 59, 10 %, 93054 MiB
2026/09/04 11:00:02.836, 388.15 W, 600.00 W, 2677 MHz, 15368 MHz, 71, 98 %, 93054 MiB
2026/09/04 11:00:03.836, 442.26 W, 600.00 W, 2752 MHz, 15368 MHz, 67, 98 %, 93054 MiB
2026/09/04 11:00:04.837, 330.33 W, 600.00 W, 2760 MHz, 15368 MHz, 68, 98 %, 93054 MiB
2026/09/04 11:00:05.838, 333.36 W, 600.00 W, 2767 MHz, 15368 MHz, 70, 98 %, 93054 MiB
2026/09/04 11:00:06.839, 535.35 W, 600.00 W, 2670 MHz, 15368 MHz, 72, 98 %, 93054 MiB
2026/09/04 11:00:07.839, 377.46 W, 600.00 W, 2752 MHz, 15368 MHz, 69, 99 %, 93054 MiB
2026/09/04 11:00:08.840, 334.19 W, 600.00 W, 2745 MHz, 15368 MHz, 67, 98 %, 93054 MiB
2026/09/04 11:00:09.841, 389.59 W, 600.00 W, 2670 MHz, 15368 MHz, 72, 98 %, 93054 MiB
2026/09/04 11:00:10.842, 547.40 W, 600.00 W, 2677 MHz, 15368 MHz, 74, 98 %, 93054 MiB
2026/09/04 11:00:11.843, 342.94 W, 600.00 W, 2745 MHz, 15368 MHz, 70, 99 %, 93054 MiB
2026/09/04 11:00:12.843, 351.18 W, 600.00 W, 2752 MHz, 15368 MHz, 69, 98 %, 93054 MiB
2026/09/04 11:00:13.844, 414.28 W, 600.00 W, 2677 MHz, 15368 MHz, 74, 99 %, 93054 MiB
2026/09/04 11:00:14.845, 533.68 W, 600.00 W, 2692 MHz, 15368 MHz, 69, 99 %, 93054 MiB
2026/09/04 11:00:15.846, 353.71 W, 600.00 W, 2745 MHz, 15368 MHz, 73, 98 %, 93054 MiB
2026/09/04 11:00:16.846, 341.51 W, 600.00 W, 2745 MHz, 15368 MHz, 67, 99 %, 93054 MiB
2026/09/04 11:00:17.847, 408.45 W, 600.00 W, 2670 MHz, 15368 MHz, 74, 98 %, 93054 MiB
2026/09/04 11:00:18.848, 550.53 W, 600.00 W, 2670 MHz, 15368 MHz, 75, 98 %, 93054 MiB
2026/09/04 11:00:19.849, 367.45 W, 600.00 W, 2730 MHz, 15368 MHz, 69, 99 %, 93054 MiB
2026/09/04 11:00:20.849, 353.92 W, 600.00 W, 2737 MHz, 15368 MHz, 70, 99 %, 93054 MiB
2026/09/04 11:00:21.850, 380.59 W, 600.00 W, 2685 MHz, 15368 MHz, 74, 98 %, 93054 MiB
2026/09/04 11:00:22.851, 558.18 W, 600.00 W, 2662 MHz, 15368 MHz, 76, 98 %, 93054 MiB
2026/09/04 11:00:23.852, 385.54 W, 600.00 W, 2737 MHz, 15368 MHz, 73, 99 %, 93054 MiB
2026/09/04 11:00:24.852, 358.80 W, 600.00 W, 2745 MHz, 15368 MHz, 71, 98 %, 93054 MiB
2026/09/04 11:00:25.854, 342.65 W, 600.00 W, 2752 MHz, 15368 MHz, 72, 99 %, 93054 MiB
2026/09/04 11:00:26.854, 542.27 W, 600.00 W, 2655 MHz, 15368 MHz, 76, 98 %, 93054 MiB
2026/09/04 11:00:27.857, 449.72 W, 600.00 W, 2737 MHz, 15368 MHz, 71, 99 %, 93054 MiB
2026/09/04 11:00:28.858, 367.96 W, 600.00 W, 2737 MHz, 15368 MHz, 75, 98 %, 93054 MiB
2026/09/04 11:00:29.858, 376.15 W, 600.00 W, 2737 MHz, 15368 MHz, 72, 99 %, 93054 MiB
2026/09/04 11:00:30.859, 428.33 W, 600.00 W, 2670 MHz, 15368 MHz, 75, 98 %, 93054 MiB
2026/09/04 11:00:31.860, 543.14 W, 600.00 W, 2692 MHz, 15368 MHz, 74, 99 %, 93054 MiB
2026/09/04 11:00:32.861, 370.79 W, 600.00 W, 2737 MHz, 15368 MHz, 73, 99 %, 93054 MiB
2026/09/04 11:00:33.862, 368.12 W, 600.00 W, 2737 MHz, 15368 MHz, 74, 99 %, 93054 MiB
2026/09/04 11:00:34.862, 335.56 W, 600.00 W, 2760 MHz, 15368 MHz, 74, 99 %, 93054 MiB
2026/09/04 11:00:35.865, 538.24 W, 600.00 W, 2655 MHz, 15368 MHz, 77, 99 %, 93054 MiB
2026/09/04 11:00:36.866, 465.03 W, 600.00 W, 2730 MHz, 15368 MHz, 71, 99 %, 93054 MiB
2026/09/04 11:00:37.867, 376.79 W, 600.00 W, 2730 MHz, 15368 MHz, 75, 99 %, 93054 MiB
2026/09/04 11:00:38.867, 366.60 W, 600.00 W, 2722 MHz, 15368 MHz, 73, 99 %, 93054 MiB
2026/09/04 11:00:39.868, 383.52 W, 600.00 W, 2677 MHz, 15368 MHz, 77, 99 %, 93054 MiB
2026/09/04 11:00:40.869, 552.83 W, 600.00 W, 2647 MHz, 15368 MHz, 78, 99 %, 93054 MiB
2026/09/04 11:00:41.870, 418.80 W, 600.00 W, 2722 MHz, 15368 MHz, 72, 99 %, 93054 MiB
2026/09/04 11:00:42.871, 370.36 W, 600.00 W, 2730 MHz, 15368 MHz, 72, 99 %, 93054 MiB
2026/09/04 11:00:43.872, 385.05 W, 600.00 W, 2722 MHz, 15368 MHz, 73, 99 %, 93054 MiB
2026/09/04 11:00:44.874, 405.44 W, 600.00 W, 2670 MHz, 15368 MHz, 78, 99 %, 93054 MiB
2026/09/04 11:00:45.875, 556.91 W, 600.00 W, 2655 MHz, 15368 MHz, 78, 99 %, 93054 MiB
2026/09/04 11:00:46.875, 408.94 W, 600.00 W, 2715 MHz, 15368 MHz, 76, 99 %, 93054 MiB
2026/09/04 11:00:47.876, 379.33 W, 600.00 W, 2730 MHz, 15368 MHz, 72, 99 %, 93054 MiB
2026/09/04 11:00:48.877, 382.83 W, 600.00 W, 2737 MHz, 15368 MHz, 73, 79 %, 93054 MiB
2026/09/04 11:00:49.878, 394.67 W, 600.00 W, 2670 MHz, 15368 MHz, 79, 99 %, 93054 MiB
2026/09/04 11:00:50.878, 552.60 W, 600.00 W, 2647 MHz, 15368 MHz, 78, 98 %, 93054 MiB
2026/09/04 11:00:51.879, 407.06 W, 600.00 W, 2730 MHz, 15368 MHz, 75, 99 %, 93054 MiB
2026/09/04 11:00:52.880, 374.95 W, 600.00 W, 2722 MHz, 15368 MHz, 75, 98 %, 93054 MiB
2026/09/04 11:00:53.881, 394.04 W, 600.00 W, 2715 MHz, 15368 MHz, 78, 99 %, 93054 MiB
2026/09/04 11:00:54.882, 374.24 W, 600.00 W, 2670 MHz, 15368 MHz, 78, 98 %, 93054 MiB
2026/09/04 11:00:55.883, 552.03 W, 600.00 W, 2640 MHz, 15368 MHz, 79, 98 %, 93054 MiB
2026/09/04 11:00:56.883, 454.99 W, 600.00 W, 2715 MHz, 15368 MHz, 74, 100 %, 93054 MiB
2026/09/04 11:00:57.884, 376.42 W, 600.00 W, 2730 MHz, 15368 MHz, 75, 99 %, 93054 MiB
2026/09/04 11:00:58.885, 391.21 W, 600.00 W, 2715 MHz, 15368 MHz, 75, 100 %, 93054 MiB
2026/09/04 11:00:59.886, 327.34 W, 600.00 W, 2677 MHz, 15368 MHz, 78, 100 %, 93054 MiB
2026/09/04 11:01:00.886, 546.35 W, 600.00 W, 2647 MHz, 15368 MHz, 79, 99 %, 93054 MiB
2026/09/04 11:01:01.887, 503.56 W, 600.00 W, 2715 MHz, 15368 MHz, 76, 100 %, 93054 MiB
2026/09/04 11:01:02.888, 380.13 W, 600.00 W, 2715 MHz, 15368 MHz, 75, 98 %, 93054 MiB
2026/09/04 11:01:03.889, 386.41 W, 600.00 W, 2707 MHz, 15368 MHz, 77, 99 %, 93054 MiB
2026/09/04 11:01:04.890, 317.49 W, 600.00 W, 2820 MHz, 15368 MHz, 70, 0 %, 93054 MiB
2026/09/04 11:01:05.890, 500.77 W, 600.00 W, 2655 MHz, 15368 MHz, 81, 99 %, 93054 MiB
2026/09/04 11:01:06.892, 547.14 W, 600.00 W, 2655 MHz, 15368 MHz, 80, 99 %, 93054 MiB
2026/09/04 11:01:07.894, 408.60 W, 600.00 W, 2737 MHz, 15368 MHz, 74, 99 %, 93054 MiB
2026/09/04 11:01:08.894, 395.32 W, 600.00 W, 2707 MHz, 15368 MHz, 78, 99 %, 93054 MiB
2026/09/04 11:01:09.895, 392.89 W, 600.00 W, 2707 MHz, 15368 MHz, 76, 98 %, 93054 MiB
2026/09/04 11:01:10.896, 387.87 W, 600.00 W, 2655 MHz, 15368 MHz, 80, 99 %, 93054 MiB
2026/09/04 11:01:11.896, 525.12 W, 600.00 W, 2700 MHz, 15368 MHz, 79, 96 %, 93054 MiB
2026/09/04 11:01:12.897, 338.12 W, 600.00 W, 2730 MHz, 15368 MHz, 77, 95 %, 93054 MiB
2026/09/04 11:01:13.898, 337.33 W, 600.00 W, 2730 MHz, 15368 MHz, 74, 96 %, 93054 MiB
2026/09/04 11:01:14.899, 263.52 W, 600.00 W, 2812 MHz, 15368 MHz, 72, 25 %, 93054 MiB
2026/09/04 11:01:15.899, 189.51 W, 600.00 W, 2812 MHz, 15368 MHz, 71, 25 %, 93054 MiB
2026/09/04 11:01:16.900, 183.17 W, 600.00 W, 2737 MHz, 15368 MHz, 70, 20 %, 93054 MiB
2026/09/04 11:01:17.901, 182.12 W, 600.00 W, 2737 MHz, 15368 MHz, 70, 26 %, 93054 MiB
2026/09/04 11:01:18.901, 180.48 W, 600.00 W, 2737 MHz, 15368 MHz, 69, 21 %, 93054 MiB
2026/09/04 11:01:19.902, 181.43 W, 600.00 W, 2737 MHz, 15368 MHz, 69, 25 %, 93054 MiB
2026/09/04 11:01:20.903, 181.35 W, 600.00 W, 2737 MHz, 15368 MHz, 69, 25 %, 93054 MiB
2026/09/04 11:01:21.903, 179.80 W, 600.00 W, 2737 MHz, 15368 MHz, 68, 22 %, 93054 MiB
2026/09/04 11:01:22.904, 178.52 W, 600.00 W, 2737 MHz, 15368 MHz, 68, 19 %, 93054 MiB
2026/09/04 11:01:23.904, 145.07 W, 600.00 W, 2610 MHz, 15368 MHz, 67, 7 %, 93054 MiB
2026/09/04 11:01:24.905, 127.95 W, 600.00 W, 2655 MHz, 15368 MHz, 73, 51 %, 93054 MiB
2026/09/04 11:01:25.905, 516.42 W, 600.00 W, 2662 MHz, 15368 MHz, 78, 98 %, 93054 MiB
2026/09/04 11:01:26.906, 385.61 W, 600.00 W, 2737 MHz, 15368 MHz, 71, 99 %, 93054 MiB
2026/09/04 11:01:27.907, 340.35 W, 600.00 W, 2737 MHz, 15368 MHz, 71, 98 %, 93054 MiB
2026/09/04 11:01:28.907, 400.57 W, 600.00 W, 2655 MHz, 15368 MHz, 77, 98 %, 93054 MiB
2026/09/04 11:01:29.908, 539.24 W, 600.00 W, 2692 MHz, 15368 MHz, 75, 98 %, 93054 MiB
2026/09/04 11:01:30.908, 346.43 W, 600.00 W, 2737 MHz, 15368 MHz, 74, 98 %, 93054 MiB
2026/09/04 11:01:31.909, 347.93 W, 600.00 W, 2737 MHz, 15368 MHz, 72, 98 %, 93054 MiB
2026/09/04 11:01:32.909, 452.67 W, 600.00 W, 2655 MHz, 15368 MHz, 79, 98 %, 93054 MiB
2026/09/04 11:01:33.910, 505.35 W, 600.00 W, 2730 MHz, 15368 MHz, 74, 99 %, 93054 MiB
2026/09/04 11:01:34.911, 354.58 W, 600.00 W, 2730 MHz, 15368 MHz, 74, 98 %, 93054 MiB
