2026/09/04 11:10:49.286, 104.08 W, 600.00 W, 2835 MHz, 15368 MHz, 52, 0 %, 41 MiB
2026/09/04 11:10:50.289, 67.06 W, 600.00 W, 2677 MHz, 15368 MHz, 52, 0 %, 41 MiB
2026/09/04 11:10:51.290, 75.07 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 596 MiB
2026/09/04 11:10:52.291, 97.25 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 596 MiB
2026/09/04 11:10:53.291, 95.74 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 596 MiB
2026/09/04 11:10:54.292, 95.41 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 596 MiB
2026/09/04 11:10:55.292, 95.97 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 596 MiB
2026/09/04 11:10:56.293, 95.66 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 596 MiB
2026/09/04 11:10:57.293, 95.60 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 596 MiB
2026/09/04 11:10:58.294, 95.34 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 596 MiB
2026/09/04 11:10:59.294, 95.30 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 596 MiB
2026/09/04 11:11:00.295, 95.35 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 598 MiB
2026/09/04 11:11:02.460, 96.45 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 80308 MiB
2026/09/04 11:11:03.460, 96.51 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 80308 MiB
2026/09/04 11:11:04.461, 103.05 W, 600.00 W, 2805 MHz, 15368 MHz, 53, 100 %, 80308 MiB
2026/09/04 11:11:05.462, 125.80 W, 600.00 W, 2835 MHz, 15368 MHz, 53, 100 %, 80308 MiB
2026/09/04 11:11:06.463, 125.88 W, 600.00 W, 2835 MHz, 15368 MHz, 53, 100 %, 80308 MiB
2026/09/04 11:11:07.464, 117.06 W, 600.00 W, 2835 MHz, 15368 MHz, 53, 0 %, 80308 MiB
2026/09/04 11:11:08.464, 110.25 W, 600.00 W, 2835 MHz, 15368 MHz, 53, 0 %, 80308 MiB
2026/09/04 11:11:09.465, 102.51 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 0 %, 80308 MiB
2026/09/04 11:11:10.530, 97.56 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 2 %, 91110 MiB
2026/09/04 11:11:11.531, 96.96 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 91296 MiB
2026/09/04 11:11:12.532, 117.63 W, 600.00 W, 2617 MHz, 15368 MHz, 53, 1 %, 91342 MiB
2026/09/04 11:11:13.533, 98.36 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 91376 MiB
2026/09/04 11:11:14.534, 102.91 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 2 %, 91376 MiB
2026/09/04 11:11:15.535, 96.93 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 0 %, 91376 MiB
2026/09/04 11:11:16.535, 96.76 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 6 %, 91376 MiB
2026/09/04 11:11:17.536, 161.64 W, 600.00 W, 2595 MHz, 15368 MHz, 54, 3 %, 91408 MiB
2026/09/04 11:11:18.540, 119.46 W, 600.00 W, 2827 MHz, 15368 MHz, 53, 3 %, 91416 MiB
2026/09/04 11:11:19.541, 125.57 W, 600.00 W, 2722 MHz, 15368 MHz, 54, 23 %, 91452 MiB
2026/09/04 11:11:20.543, 161.33 W, 600.00 W, 2752 MHz, 15368 MHz, 54, 21 %, 91452 MiB
2026/09/04 11:11:21.544, 163.82 W, 600.00 W, 2752 MHz, 15368 MHz, 55, 23 %, 91452 MiB
2026/09/04 11:11:22.545, 164.13 W, 600.00 W, 2752 MHz, 15368 MHz, 55, 24 %, 91452 MiB
2026/09/04 11:11:23.545, 163.54 W, 600.00 W, 2752 MHz, 15368 MHz, 55, 24 %, 91452 MiB
2026/09/04 11:11:24.545, 164.99 W, 600.00 W, 2752 MHz, 15368 MHz, 54, 23 %, 91452 MiB
2026/09/04 11:11:25.547, 161.78 W, 600.00 W, 2752 MHz, 15368 MHz, 55, 23 %, 91452 MiB
2026/09/04 11:11:26.548, 161.32 W, 600.00 W, 2745 MHz, 15368 MHz, 54, 24 %, 91468 MiB
2026/09/04 11:11:27.548, 163.44 W, 600.00 W, 2752 MHz, 15368 MHz, 55, 23 %, 91468 MiB
2026/09/04 11:11:28.548, 113.42 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 7 %, 91468 MiB
2026/09/04 11:11:29.549, 98.10 W, 600.00 W, 2610 MHz, 15368 MHz, 53, 7 %, 92698 MiB
2026/09/04 11:11:30.550, 470.92 W, 600.00 W, 2677 MHz, 15368 MHz, 65, 98 %, 92708 MiB
2026/09/04 11:11:31.550, 394.31 W, 600.00 W, 2767 MHz, 15368 MHz, 59, 91 %, 92754 MiB
2026/09/04 11:11:32.551, 307.58 W, 600.00 W, 2775 MHz, 15368 MHz, 60, 90 %, 92794 MiB
2026/09/04 11:11:33.551, 319.64 W, 600.00 W, 2775 MHz, 15368 MHz, 64, 98 %, 92808 MiB
2026/09/04 11:11:34.552, 525.38 W, 600.00 W, 2677 MHz, 15368 MHz, 67, 98 %, 92824 MiB
2026/09/04 11:11:35.553, 357.87 W, 600.00 W, 2760 MHz, 15368 MHz, 60, 86 %, 92866 MiB
2026/09/04 11:11:36.553, 316.37 W, 600.00 W, 2767 MHz, 15368 MHz, 60, 99 %, 92912 MiB
2026/09/04 11:11:37.554, 345.97 W, 600.00 W, 2782 MHz, 15368 MHz, 67, 99 %, 92918 MiB
2026/09/04 11:11:38.554, 533.02 W, 600.00 W, 2677 MHz, 15368 MHz, 68, 99 %, 92918 MiB
2026/09/04 11:11:39.555, 363.49 W, 600.00 W, 2760 MHz, 15368 MHz, 65, 96 %, 92920 MiB
2026/09/04 11:11:40.555, 332.68 W, 600.00 W, 2760 MHz, 15368 MHz, 62, 95 %, 92920 MiB
2026/09/04 11:11:41.558, 355.42 W, 600.00 W, 2767 MHz, 15368 MHz, 69, 99 %, 92920 MiB
2026/09/04 11:11:42.558, 540.73 W, 600.00 W, 2670 MHz, 15368 MHz, 70, 99 %, 92920 MiB
2026/09/04 11:11:43.559, 365.42 W, 600.00 W, 2745 MHz, 15368 MHz, 66, 99 %, 92924 MiB
2026/09/04 11:11:44.560, 336.48 W, 600.00 W, 2752 MHz, 15368 MHz, 64, 94 %, 92924 MiB
2026/09/04 11:11:45.560, 330.69 W, 600.00 W, 2797 MHz, 15368 MHz, 65, 99 %, 92926 MiB
2026/09/04 11:11:46.561, 539.34 W, 600.00 W, 2662 MHz, 15368 MHz, 72, 99 %, 92926 MiB
2026/09/04 11:11:47.562, 413.75 W, 600.00 W, 2737 MHz, 15368 MHz, 67, 99 %, 92926 MiB
2026/09/04 11:11:48.562, 350.05 W, 600.00 W, 2745 MHz, 15368 MHz, 67, 99 %, 92926 MiB
2026/09/04 11:11:49.563, 325.15 W, 600.00 W, 2782 MHz, 15368 MHz, 67, 53 %, 92926 MiB
2026/09/04 11:11:50.564, 536.97 W, 600.00 W, 2670 MHz, 15368 MHz, 72, 98 %, 92926 MiB
2026/09/04 11:11:51.565, 452.39 W, 600.00 W, 2737 MHz, 15368 MHz, 66, 99 %, 92926 MiB
2026/09/04 11:11:52.566, 354.18 W, 600.00 W, 2745 MHz, 15368 MHz, 66, 99 %, 92926 MiB
2026/09/04 11:11:53.566, 352.39 W, 600.00 W, 2745 MHz, 15368 MHz, 64, 35 %, 92926 MiB
2026/09/04 11:11:54.567, 447.40 W, 600.00 W, 2670 MHz, 15368 MHz, 73, 99 %, 92926 MiB
2026/09/04 11:11:55.567, 502.35 W, 600.00 W, 2722 MHz, 15368 MHz, 72, 98 %, 92926 MiB
2026/09/04 11:11:56.568, 352.70 W, 600.00 W, 2737 MHz, 15368 MHz, 70, 99 %, 92926 MiB
2026/09/04 11:11:57.569, 355.20 W, 600.00 W, 2745 MHz, 15368 MHz, 66, 99 %, 92926 MiB
2026/09/04 11:11:58.569, 380.09 W, 600.00 W, 2700 MHz, 15368 MHz, 72, 99 %, 92926 MiB
2026/09/04 11:11:59.570, 547.98 W, 600.00 W, 2662 MHz, 15368 MHz, 74, 98 %, 92926 MiB
2026/09/04 11:12:00.570, 403.97 W, 600.00 W, 2745 MHz, 15368 MHz, 72, 99 %, 92926 MiB
2026/09/04 11:12:01.571, 354.02 W, 600.00 W, 2737 MHz, 15368 MHz, 68, 99 %, 92926 MiB
